,Date  ,Open ,High,Low,Close
0,06-Jun-22,272.4,275.8,269.7,274.8
1,07-Jun-22,273.2,275.0,272.25,273.9
2,08-Jun-22,273.95,274.4,266.2,267.9
3,09-Jun-22,267.8,271.7,265.75,270.85
4,10-Jun-22,269.05,271.0,268.75,270.15
5,13-Jun-22,266.4,269.1,263.0,264.65
6,14-Jun-22,263.2,267.45,263.05,265.45
7,15-Jun-22,266.0,267.3,263.05,263.4
8,16-Jun-22,267.0,267.9,259.5,260.7
9,17-Jun-22,259.0,264.15,258.55,263.3
10,20-Jun-22,263.3,266.15,261.35,264.1
11,21-Jun-22,265.0,270.85,264.1,269.9
12,22-Jun-22,267.0,270.3,264.9,265.3
13,23-Jun-22,265.5,267.25,262.4,265.5
14,24-Jun-22,266.1,268.35,265.2,265.85
15,27-Jun-22,267.0,270.65,266.5,269.95
16,28-Jun-22,268.9,272.25,268.55,271.85
17,29-Jun-22,269.25,275.0,269.15,274.05
18,30-Jun-22,273.95,274.7,272.0,273.5
19,01-Jul-22,273.5,285.0,271.2,284.35
20,04-Jul-22,285.65,293.3,284.8,291.9
21,05-Jul-22,293.0,293.0,285.75,286.9
22,06-Jul-22,286.1,290.0,285.3,289.3
23,07-Jul-22,291.0,293.15,288.5,291.95
24,08-Jul-22,292.9,294.45,290.4,293.05
25,11-Jul-22,293.0,296.95,292.05,295.0
26,12-Jul-22,293.0,295.35,290.9,292.7
27,13-Jul-22,293.0,294.8,292.7,294.05
28,14-Jul-22,294.3,296.35,289.15,290.85
29,15-Jul-22,292.0,294.0,289.5,293.55
30,18-Jul-22,295.0,296.3,293.75,295.3
31,19-Jul-22,295.0,295.6,292.7,294.6
32,20-Jul-22,294.9,299.5,293.6,298.2
33,21-Jul-22,299.0,302.2,298.0,299.55
34,22-Jul-22,300.0,302.5,298.1,300.55
35,25-Jul-22,299.0,302.95,298.8,301.1
36,26-Jul-22,301.0,303.75,300.45,302.45
37,27-Jul-22,302.85,305.0,300.6,304.15
38,28-Jul-22,304.9,305.2,302.4,303.45
39,29-Jul-22,305.0,305.9,301.35,303.05
40,01-Aug-22,304.0,308.8,303.1,307.5
41,02-Aug-22,310.0,316.65,308.2,309.95
42,03-Aug-22,310.9,310.9,303.65,308.15
43,04-Aug-22,308.0,310.35,307.15,309.5
44,05-Aug-22,309.5,311.8,309.1,310.85
45,08-Aug-22,310.95,313.95,310.05,313.15
46,10-Aug-22,313.15,314.1,310.75,311.2
