,Date  ,Open,High,Low,Close
0,06-Jun-22,31.5,31.55,30.95,31.45
1,07-Jun-22,31.3,31.55,31.0,31.25
2,08-Jun-22,31.3,31.75,31.1,31.15
3,09-Jun-22,31.15,31.3,30.8,31.1
4,10-Jun-22,30.8,31.0,30.65,30.9
5,13-Jun-22,30.25,30.55,29.9,30.1
6,14-Jun-22,30.0,30.35,29.8,29.9
7,15-Jun-22,30.0,30.2,29.85,29.95
8,16-Jun-22,30.15,30.25,28.9,29.05
9,17-Jun-22,29.0,29.3,28.5,29.05
10,20-Jun-22,29.25,29.35,28.05,28.45
11,21-Jun-22,28.7,30.0,28.55,29.75
12,22-Jun-22,29.35,29.55,29.05,29.3
13,23-Jun-22,29.35,29.6,28.7,29.25
14,24-Jun-22,29.35,29.8,29.25,29.55
15,27-Jun-22,29.8,29.95,29.5,29.55
16,28-Jun-22,29.45,29.85,29.45,29.75
17,29-Jun-22,29.45,29.9,29.3,29.75
18,30-Jun-22,29.7,29.9,28.9,29.0
19,01-Jul-22,29.05,29.6,28.75,29.45
20,04-Jul-22,29.45,30.1,29.45,30.0
21,05-Jul-22,30.05,30.25,29.6,29.7
22,06-Jul-22,29.6,30.05,29.55,29.95
23,07-Jul-22,30.1,31.1,30.0,31.0
24,08-Jul-22,31.1,31.2,30.4,30.65
25,11-Jul-22,30.5,31.15,30.5,31.05
26,12-Jul-22,30.8,31.2,30.65,30.8
27,13-Jul-22,30.8,31.05,30.65,30.8
28,14-Jul-22,30.7,30.95,30.1,30.4
29,15-Jul-22,30.4,30.55,30.05,30.3
30,18-Jul-22,30.5,31.5,30.35,31.35
31,19-Jul-22,31.15,31.75,31.1,31.6
32,20-Jul-22,31.85,31.95,31.3,31.4
33,21-Jul-22,31.35,32.05,31.3,31.85
34,22-Jul-22,31.9,32.25,31.7,31.8
35,25-Jul-22,31.6,31.8,31.35,31.6
36,26-Jul-22,31.5,31.8,31.45,31.6
37,27-Jul-22,31.5,32.1,31.5,32.05
38,28-Jul-22,32.1,33.45,32.1,32.65
39,29-Jul-22,32.2,32.6,31.3,31.35
40,01-Aug-22,31.55,33.75,31.35,33.4
41,02-Aug-22,33.25,34.6,32.95,34.2
42,03-Aug-22,34.1,34.35,33.25,34.0
43,04-Aug-22,34.1,34.2,33.0,33.4
44,05-Aug-22,33.4,33.9,33.3,33.55
45,08-Aug-22,33.45,33.75,33.25,33.35
46,10-Aug-22,33.4,33.5,32.8,33.0
47,11-Aug-22,33.2,33.75,33.15,33.4
48,12-Aug-22,33.35,33.55,33.25,33.3
49,16-Aug-22,33.4,33.6,33.25,33.55
50,17-Aug-22,33.55,34.55,33.4,34.45
51,18-Aug-22,34.3,34.7,34.05,34.15
52,19-Aug-22,34.15,34.25,33.2,33.35
53,22-Aug-22,33.05,33.2,32.35,32.4
54,23-Aug-22,32.15,33.1,32.15,33.05
55,24-Aug-22,33.05,33.6,32.95,33.55
56,25-Aug-22,33.6,36.1,33.55,35.25
57,26-Aug-22,35.5,36.5,35.45,35.7
58,29-Aug-22,34.85,35.4,34.45,35.25
59,30-Aug-22,35.65,36.3,35.55,35.85
60,01-Sep-22,35.45,36.5,35.35,35.8
61,02-Sep-22,36.1,36.15,35.1,35.25
62,05-Sep-22,35.25,35.95,35.25,35.7
63,06-Sep-22,35.75,37.5,35.65,37.2
64,07-Sep-22,36.9,37.95,36.8,37.6
65,08-Sep-22,37.95,38.5,37.75,38.35
66,09-Sep-22,38.5,39.6,38.5,39.0
67,12-Sep-22,39.4,40.3,39.05,40.1
68,13-Sep-22,40.25,40.8,39.45,39.55
69,14-Sep-22,38.8,40.4,38.7,40.1
70,15-Sep-22,40.35,40.7,39.85,40.45
71,16-Sep-22,40.4,40.6,38.9,39.65
72,19-Sep-22,39.85,41.35,39.65,40.4
73,20-Sep-22,40.8,41.65,40.15,40.65
74,21-Sep-22,40.7,41.1,39.7,40.15
75,22-Sep-22,40.0,41.2,39.85,40.5
76,23-Sep-22,40.45,40.6,38.0,38.15
77,26-Sep-22,37.85,37.85,35.8,36.0
78,27-Sep-22,36.3,37.05,36.1,36.7
79,28-Sep-22,36.3,36.3,34.55,34.85
80,29-Sep-22,35.25,35.75,34.25,34.9
81,30-Sep-22,35.6,36.8,35.0,36.55
82,03-Oct-22,36.6,36.75,35.35,35.45
83,04-Oct-22,36.35,36.65,36.15,36.45
84,06-Oct-22,36.85,37.0,36.45,36.65
85,07-Oct-22,36.5,36.9,36.1,36.65
86,10-Oct-22,36.15,37.0,36.1,36.55
87,11-Oct-22,36.75,36.8,35.6,35.7
88,12-Oct-22,35.85,36.45,35.6,36.3
89,13-Oct-22,36.4,36.45,35.45,35.9
90,14-Oct-22,36.65,36.8,35.75,35.85
91,17-Oct-22,35.85,37.25,35.5,36.9
92,18-Oct-22,37.2,39.1,37.05,38.85
93,19-Oct-22,39.0,40.1,38.65,39.35
94,20-Oct-22,39.1,40.75,38.6,40.5
95,21-Oct-22,40.5,41.8,40.4,40.75
96,24-Oct-22,41.35,41.6,40.9,41.1
97,25-Oct-22,41.2,44.0,40.5,43.3
98,27-Oct-22,43.5,43.6,42.55,43.0
99,28-Oct-22,43.3,44.8,42.7,43.1
100,31-Oct-22,43.6,43.75,41.75,42.65
101,01-Nov-22,43.2,43.6,39.9,40.1
102,02-Nov-22,39.95,40.0,39.0,39.25
103,03-Nov-22,39.0,41.6,38.9,41.3
104,04-Nov-22,41.75,42.15,41.35,41.8
105,07-Nov-22,42.9,43.55,41.65,41.85
106,09-Nov-22,42.6,46.0,42.1,44.95
107,10-Nov-22,45.0,45.15,43.55,44.05
108,11-Nov-22,45.05,45.2,44.1,44.75
109,14-Nov-22,44.9,44.95,43.7,43.95
110,15-Nov-22,44.2,44.3,43.6,43.95
111,16-Nov-22,43.95,44.95,43.85,44.15
112,17-Nov-22,44.15,44.75,43.35,44.3
113,18-Nov-22,44.35,46.7,44.15,45.85
114,21-Nov-22,45.8,47.8,45.55,47.6
115,22-Nov-22,47.85,48.4,47.0,48.2
116,23-Nov-22,48.55,50.9,48.3,50.35
117,24-Nov-22,50.55,51.2,50.3,50.85
118,25-Nov-22,51.5,55.65,51.25,53.6
119,28-Nov-22,54.35,54.35,52.7,53.4
120,29-Nov-22,53.45,54.1,52.15,52.5
121,30-Nov-22,52.5,52.9,50.9,51.3
122,01-Dec-22,51.75,53.6,51.3,53.25
123,02-Dec-22,53.3,54.25,52.75,54.0
124,05-Dec-22,54.3,55.35,53.8,55.15
125,06-Dec-22,55.15,57.35,54.6,55.45
126,07-Dec-22,55.8,56.35,54.05,55.45
127,08-Dec-22,55.7,57.95,55.45,57.7
128,09-Dec-22,58.5,59.4,55.0,56.25
129,12-Dec-22,56.75,58.55,56.25,58.1
130,13-Dec-22,58.8,60.1,58.4,59.9
131,14-Dec-22,60.45,60.65,58.2,59.25
132,15-Dec-22,59.25,62.0,58.9,59.3
133,16-Dec-22,59.3,60.0,56.45,56.75
134,19-Dec-22,57.05,57.3,55.6,56.05
135,20-Dec-22,55.95,56.25,54.3,55.55
136,21-Dec-22,56.0,57.1,52.55,53.15
137,22-Dec-22,53.9,55.2,52.6,53.75
138,23-Dec-22,53.3,53.45,49.3,49.7
139,26-Dec-22,49.7,53.95,49.15,53.5
140,27-Dec-22,54.6,55.55,53.3,54.2
141,28-Dec-22,54.15,55.85,53.4,54.9
142,29-Dec-22,54.45,55.9,53.45,55.4
143,30-Dec-22,56.0,57.3,55.8,56.45
144,02-Jan-23,56.8,57.6,56.35,57.15
145,03-Jan-23,57.45,58.3,57.15,57.8
146,04-Jan-23,58.1,58.35,55.7,56.25
147,05-Jan-23,56.7,57.15,55.45,56.75
148,06-Jan-23,57.0,57.6,56.0,56.4
149,09-Jan-23,57.0,57.75,56.75,57.1
150,10-Jan-23,56.9,56.95,54.65,55.1
151,11-Jan-23,55.3,56.6,54.6,56.4
152,12-Jan-23,56.4,56.5,55.3,55.85
153,13-Jan-23,56.0,57.4,55.7,56.8
154,16-Jan-23,56.95,59.45,56.8,58.9
155,17-Jan-23,59.2,59.45,56.75,57.75
156,18-Jan-23,57.85,58.0,56.45,56.75
157,19-Jan-23,56.7,57.35,56.2,57.2
158,20-Jan-23,57.45,58.1,56.75,56.95
159,23-Jan-23,57.25,57.5,56.6,56.8
160,24-Jan-23,57.0,57.35,55.3,55.5
161,25-Jan-23,55.45,55.55,53.15,53.7
162,27-Jan-23,53.75,54.35,50.05,50.8
163,30-Jan-23,51.1,53.25,49.1,50.7
164,31-Jan-23,51.0,54.0,50.55,53.55
165,01-Feb-23,54.25,54.4,48.3,50.3
166,02-Feb-23,50.0,52.25,48.6,50.8
167,03-Feb-23,51.25,52.3,49.2,51.8
168,06-Feb-23,51.9,52.3,51.1,51.4
169,07-Feb-23,51.55,52.1,50.7,51.3
170,08-Feb-23,51.65,52.0,51.15,51.6
171,09-Feb-23,51.55,51.55,50.35,51.0
172,10-Feb-23,50.8,52.65,50.55,51.25
173,13-Feb-23,51.4,51.6,49.8,50.2
174,14-Feb-23,50.4,51.15,49.5,50.8
175,15-Feb-23,50.45,51.05,50.25,50.9
176,16-Feb-23,50.95,51.25,50.4,50.8
177,17-Feb-23,50.55,50.55,49.5,49.7
178,20-Feb-23,49.75,50.5,49.3,49.5
179,21-Feb-23,49.7,50.0,48.8,49.05
180,22-Feb-23,48.75,48.85,47.5,47.8
181,23-Feb-23,48.0,48.6,47.25,48.25
182,24-Feb-23,48.6,49.15,47.35,47.55
183,27-Feb-23,47.5,48.3,47.2,48.1
184,28-Feb-23,48.25,48.6,47.65,48.35
185,01-Mar-23,48.35,50.95,48.2,50.15
186,02-Mar-23,50.15,50.25,49.4,49.75
187,03-Mar-23,50.15,51.9,50.15,51.8
188,06-Mar-23,52.05,52.45,51.15,51.3
189,08-Mar-23,51.0,51.65,50.65,51.5
190,09-Mar-23,51.5,51.75,50.7,50.9
