,Date  ,Open,High ,Low ,Close
0,06-Jun-22,"8,400.00","8,758.40","8,324.00","8,696.25"
1,07-Jun-22,"8,680.00","8,770.00","8,582.00","8,618.35"
2,08-Jun-22,"8,630.35","8,710.00","8,552.20","8,608.95"
3,09-Jun-22,"8,595.00","8,740.00","8,560.00","8,693.60"
4,10-Jun-22,"8,620.00","8,665.20","8,550.00","8,602.90"
5,13-Jun-22,"8,470.00","8,696.00","8,411.60","8,462.00"
6,14-Jun-22,"8,439.95","8,555.50","8,375.00","8,386.75"
7,15-Jun-22,"8,475.00","8,521.80","8,111.10","8,159.65"
8,16-Jun-22,"8,340.00","8,369.00","7,775.00","7,991.90"
9,17-Jun-22,"7,875.00","7,925.00","7,680.50","7,812.85"
10,20-Jun-22,"7,810.00","7,812.80","7,200.00","7,254.85"
11,21-Jun-22,"7,301.00","7,600.00","7,123.00","7,551.60"
12,22-Jun-22,"7,550.00","7,625.00","7,351.00","7,492.30"
13,23-Jun-22,"7,500.00","7,848.70","7,481.60","7,788.05"
14,24-Jun-22,"7,900.00","7,964.85","7,738.05","7,794.35"
15,27-Jun-22,"7,940.00","8,050.00","7,861.75","7,991.60"
16,28-Jun-22,"7,958.00","8,060.00","7,915.00","8,036.70"
17,29-Jun-22,"8,000.00","8,231.00","7,951.40","8,186.35"
18,30-Jun-22,"8,225.00","8,329.95","8,085.00","8,170.55"
19,01-Jul-22,"8,170.55","8,239.00","8,022.00","8,152.05"
20,04-Jul-22,"8,205.00","8,235.00","8,050.10","8,081.40"
21,05-Jul-22,"8,124.00","8,148.95","7,970.00","8,003.20"
22,06-Jul-22,"8,035.90","8,090.00","7,912.00","7,973.85"
23,07-Jul-22,"8,114.00","8,150.00","8,009.00","8,082.90"
24,08-Jul-22,"8,125.00","8,144.85","7,952.00","7,993.15"
25,11-Jul-22,"7,948.00","8,120.00","7,815.65","8,046.00"
26,12-Jul-22,"8,000.00","8,075.00","7,933.00","7,958.00"
27,13-Jul-22,"8,004.00","8,017.90","7,685.00","7,711.40"
28,14-Jul-22,"7,777.90","7,844.95","7,636.00","7,799.55"
29,15-Jul-22,"7,940.00","8,119.00","7,863.00","8,060.60"
30,18-Jul-22,"8,100.40","8,185.95","8,064.00","8,104.05"
31,19-Jul-22,"8,095.00","8,145.00","8,032.00","8,079.40"
32,20-Jul-22,"8,131.00","8,215.00","8,075.00","8,113.80"
33,21-Jul-22,"8,111.00","8,234.00","8,085.00","8,196.30"
34,22-Jul-22,"8,232.00","8,464.70","8,210.55","8,386.30"
35,25-Jul-22,"8,385.00","8,550.00","8,319.20","8,529.40"
36,26-Jul-22,"8,545.00","8,573.45","8,302.10","8,361.30"
37,27-Jul-22,"8,361.30","8,500.00","8,343.05","8,481.40"
38,28-Jul-22,"8,545.00","8,621.00","8,470.05","8,560.00"
39,29-Jul-22,"8,620.00","8,700.00","8,551.00","8,690.05"
40,01-Aug-22,"8,724.00","8,828.65","8,653.80","8,720.60"
41,02-Aug-22,"8,702.00","8,704.00","8,590.10","8,641.75"
42,03-Aug-22,"8,625.00","8,870.00","8,600.00","8,840.30"
43,04-Aug-22,"8,895.00","9,024.95","8,760.00","8,956.70"
44,05-Aug-22,"8,953.00","9,425.00","8,888.00","9,308.60"
45,08-Aug-22,"9,321.20","9,631.00","9,312.55","9,555.20"
46,10-Aug-22,"9,649.00","9,700.75","9,400.00","9,461.50"
47,11-Aug-22,"9,501.25","9,575.00","9,462.30","9,498.65"
48,12-Aug-22,"9,500.00","10,374.95","9,498.65","10,238.05"
49,16-Aug-22,"10,430.00","10,719.40","10,380.65","10,579.10"
50,17-Aug-22,"10,623.00","10,760.00","10,482.00","10,684.90"
51,18-Aug-22,"10,688.00","10,699.95","10,563.00","10,614.15"
52,19-Aug-22,"10,614.15","10,628.65","10,052.05","10,138.75"
53,22-Aug-22,"10,099.45","10,099.45","9,733.00","9,788.70"
54,23-Aug-22,"9,570.00","9,946.70","9,510.35","9,618.75"
55,24-Aug-22,"9,510.00","9,985.00","9,510.00","9,861.00"
56,25-Aug-22,"9,974.90","9,975.00","9,603.30","9,656.60"
57,26-Aug-22,"9,600.00","9,686.00","9,301.00","9,349.00"
58,29-Aug-22,"8,870.05","9,048.40","8,840.00","8,870.85"
59,30-Aug-22,"9,025.00","9,155.00","8,922.00","9,019.25"
60,01-Sep-22,"8,964.00","9,077.90","8,842.00","9,020.30"
61,02-Sep-22,"9,099.00","9,140.00","8,675.00","8,707.25"
62,05-Sep-22,"8,759.00","8,943.80","8,758.85","8,872.85"
63,06-Sep-22,"8,939.00","9,016.00","8,824.45","8,846.45"
64,07-Sep-22,"8,828.00","8,897.60","8,770.65","8,813.20"
65,08-Sep-22,"8,835.60","8,898.80","8,730.00","8,766.40"
66,09-Sep-22,"8,844.00","8,929.00","8,710.00","8,816.80"
67,12-Sep-22,"8,873.80","8,960.00","8,860.00","8,885.40"
68,13-Sep-22,"8,940.00","9,270.00","8,922.05","9,089.20"
69,14-Sep-22,"8,900.00","9,057.50","8,865.00","8,914.70"
