,Date  ,Open,High,Low,Close
0,24-Oct-22,770.0,776.0,764.85,770.95
1,25-Oct-22,770.0,776.8,764.65,766.95
2,27-Oct-22,774.75,779.5,759.6,770.05
3,31-Oct-22,765.2,772.45,761.9,770.15
4,01-Nov-22,773.0,784.5,767.4,774.85
5,02-Nov-22,776.0,778.2,764.7,768.05
6,03-Nov-22,768.05,770.0,756.65,762.75
7,04-Nov-22,761.0,767.0,759.2,764.3
8,07-Nov-22,768.15,776.45,764.3,772.15
9,09-Nov-22,778.5,781.8,765.85,770.15
10,10-Nov-22,770.0,771.7,762.05,768.7
11,11-Nov-22,772.55,779.85,770.05,773.2
12,14-Nov-22,773.35,775.0,766.5,767.75
13,15-Nov-22,767.75,774.0,763.5,772.75
14,16-Nov-22,772.75,774.2,764.8,769.55
15,17-Nov-22,766.0,789.45,766.0,786.0
16,18-Nov-22,789.35,793.0,769.25,775.7
17,21-Nov-22,774.3,775.45,762.3,770.95
18,22-Nov-22,771.0,776.9,766.2,771.3
19,23-Nov-22,773.1,776.0,765.0,770.15
20,24-Nov-22,787.85,795.0,781.25,792.75
21,25-Nov-22,798.75,799.5,780.0,789.15
22,28-Nov-22,789.0,808.9,785.0,804.3
23,29-Nov-22,804.95,811.9,803.05,805.05
24,30-Nov-22,805.05,821.95,804.25,818.05
25,01-Dec-22,821.9,821.9,810.15,813.2
26,02-Dec-22,810.0,812.5,792.2,795.55
27,05-Dec-22,795.55,803.0,788.6,800.5
28,06-Dec-22,800.0,800.0,793.55,797.65
29,07-Dec-22,799.9,806.5,797.05,799.35
30,08-Dec-22,800.55,807.95,796.5,804.2
31,09-Dec-22,804.2,809.9,801.0,803.3
32,12-Dec-22,803.0,813.0,799.2,810.05
33,13-Dec-22,812.0,814.45,804.7,807.6
34,14-Dec-22,808.4,817.0,807.35,815.45
35,15-Dec-22,815.4,815.45,802.05,804.9
36,16-Dec-22,803.3,804.95,795.0,801.55
37,19-Dec-22,801.15,810.0,798.45,808.85
38,20-Dec-22,808.5,809.95,800.1,808.3
39,21-Dec-22,809.0,811.9,801.0,802.6
40,22-Dec-22,802.75,809.0,787.0,798.65
41,23-Dec-22,793.05,797.9,775.8,779.0
42,26-Dec-22,779.0,783.7,773.0,775.3
43,27-Dec-22,778.8,781.0,770.6,777.85
44,28-Dec-22,778.0,782.9,773.15,780.15
45,29-Dec-22,779.0,779.0,763.1,776.1
46,30-Dec-22,778.0,782.3,765.0,766.95
47,02-Jan-23,769.9,771.0,758.1,762.3
48,03-Jan-23,765.0,767.9,759.1,767.15
