,Date  ,Open,High,Low,Close,Total Traded Quantity  
0,25-Apr-22,772.0,788.8,761.25,780.7,"80,23,525"
1,26-Apr-22,791.0,796.6,769.0,775.0,"1,10,87,204"
2,27-Apr-22,765.6,772.95,749.0,765.9,"1,14,85,697"
3,28-Apr-22,776.9,785.45,766.35,779.8,"1,10,37,317"
4,29-Apr-22,765.0,766.85,725.0,728.6,"3,44,01,710"
5,04-May-22,733.0,735.15,704.0,707.2,"1,45,48,684"
6,05-May-22,716.0,721.8,698.9,702.35,"1,27,26,146"
7,06-May-22,690.0,692.5,668.1,673.4,"1,55,11,195"
8,09-May-22,660.2,669.0,648.8,663.7,"1,39,99,329"
9,10-May-22,663.7,672.1,657.55,659.75,"95,23,698"
10,11-May-22,661.7,676.0,655.45,672.35,"93,52,398"
11,12-May-22,667.0,667.0,644.0,649.65,"1,11,66,084"
12,13-May-22,656.4,659.4,633.4,635.95,"96,18,627"
13,16-May-22,639.85,649.2,630.05,638.95,"61,59,695"
14,17-May-22,642.9,657.5,641.15,654.95,"81,52,237"
15,18-May-22,654.75,670.4,650.3,659.45,"1,30,13,873"
16,19-May-22,643.3,657.75,641.2,650.2,"92,16,948"
17,20-May-22,659.75,675.75,658.0,673.1,"97,08,672"
18,23-May-22,673.0,684.8,668.55,675.35,"79,19,353"
19,25-May-22,668.0,672.65,660.05,665.0,"51,69,619"
20,26-May-22,672.95,685.25,668.0,683.25,"1,01,14,633"
21,30-May-22,695.1,698.0,690.1,693.65,"38,18,060"
22,31-May-22,689.0,696.0,683.05,685.2,"1,04,10,424"
23,01-Jun-22,683.0,692.45,680.5,686.05,"69,66,674"
24,02-Jun-22,682.0,693.15,682.0,691.55,"63,47,433"
25,03-Jun-22,697.3,698.0,673.15,677.3,"84,75,726"
26,06-Jun-22,677.0,684.0,670.3,672.2,"67,56,864"
27,07-Jun-22,672.2,678.0,661.1,665.85,"83,12,778"
28,08-Jun-22,670.0,673.55,655.45,658.6,"92,82,494"
29,09-Jun-22,656.95,662.75,650.0,661.3,"56,82,743"
30,10-Jun-22,655.5,663.7,652.2,660.7,"67,58,832"
31,13-Jun-22,646.95,652.0,640.1,648.95,"61,35,431"
32,14-Jun-22,645.0,655.7,643.1,650.75,"53,91,833"
33,15-Jun-22,654.0,656.35,647.2,650.5,"46,38,336"
34,16-Jun-22,657.5,658.2,631.05,634.9,"59,60,283"
35,17-Jun-22,630.0,640.8,626.6,635.2,"68,49,201"
36,20-Jun-22,635.25,637.15,622.2,628.3,"53,05,222"
37,21-Jun-22,632.0,645.35,628.15,636.5,"1,03,33,886"
38,22-Jun-22,632.55,633.65,621.25,626.8,"58,99,024"
39,23-Jun-22,627.4,640.85,618.25,629.35,"84,50,777"
40,24-Jun-22,634.35,642.45,631.65,634.0,"69,18,584"
41,27-Jun-22,644.0,646.9,634.7,637.1,"45,52,114"
42,28-Jun-22,634.0,644.7,632.0,642.35,"1,07,11,123"
43,29-Jun-22,636.35,637.8,623.5,625.55,"1,36,20,084"
44,30-Jun-22,624.0,639.3,623.65,636.8,"1,05,63,138"
45,01-Jul-22,633.0,646.6,631.8,643.95,"65,49,359"
46,04-Jul-22,641.55,655.15,640.5,654.35,"39,33,384"
47,05-Jul-22,656.1,659.9,646.0,648.5,"50,44,787"
48,06-Jul-22,652.0,659.4,651.0,657.95,"66,84,686"
49,07-Jul-22,663.45,664.5,651.65,658.15,"1,11,71,714"
50,08-Jul-22,667.0,676.8,661.4,669.15,"1,26,69,533"
51,11-Jul-22,666.55,681.95,665.35,679.85,"1,48,64,285"
52,12-Jul-22,677.0,685.25,673.0,676.2,"64,46,810"
53,13-Jul-22,680.0,685.0,676.95,679.9,"96,14,674"
54,14-Jul-22,678.6,680.45,665.6,668.25,"80,26,311"
55,15-Jul-22,670.0,674.2,659.1,662.2,"60,15,057"
56,18-Jul-22,668.05,688.0,663.45,684.5,"1,24,64,664"
57,19-Jul-22,678.6,703.85,678.6,700.6,"1,01,71,314"
58,20-Jul-22,706.3,714.5,702.7,705.7,"1,16,20,331"
59,21-Jul-22,707.95,718.45,704.35,715.55,"80,36,515"
60,22-Jul-22,717.0,735.0,715.1,730.75,"97,13,490"
61,25-Jul-22,733.5,738.8,722.5,727.35,"62,30,411"
62,26-Jul-22,722.9,723.45,702.05,706.45,"1,41,35,744"
63,27-Jul-22,707.95,720.55,703.6,718.95,"61,06,880"
64,28-Jul-22,725.0,733.7,723.05,725.9,"69,64,838"
65,29-Jul-22,733.9,734.95,723.0,724.75,"66,24,854"
66,01-Aug-22,726.0,732.3,720.4,730.8,"54,93,105"
67,02-Aug-22,727.0,734.35,721.1,730.45,"72,75,626"
68,03-Aug-22,730.0,738.5,727.5,730.5,"94,58,761"
69,04-Aug-22,735.2,736.7,712.2,721.6,"74,66,635"
70,05-Aug-22,724.0,731.2,721.2,728.5,"45,83,196"
71,08-Aug-22,730.0,747.35,728.1,745.55,"81,91,870"
72,10-Aug-22,745.0,747.85,736.15,739.0,"90,69,541"
73,11-Aug-22,743.05,760.65,743.05,758.85,"1,23,84,073"
74,16-Aug-22,765.0,772.0,758.45,764.65,"70,51,498"
75,17-Aug-22,771.4,773.75,766.25,772.1,"76,74,390"
76,18-Aug-22,772.0,776.0,762.1,765.05,"94,49,924"
77,19-Aug-22,772.0,772.65,750.25,757.5,"75,53,270"
78,22-Aug-22,753.4,754.45,739.2,741.85,"49,94,311"
79,23-Aug-22,738.0,750.85,733.8,747.05,"65,94,634"
80,24-Aug-22,745.0,752.05,742.0,750.15,"68,75,820"
81,25-Aug-22,753.9,758.6,740.0,743.35,"63,20,890"
82,26-Aug-22,748.0,755.0,741.3,744.9,"46,13,713"
83,29-Aug-22,730.0,734.9,722.05,728.7,"59,04,146"
84,30-Aug-22,733.0,753.55,733.0,751.5,"91,93,270"
85,01-Sep-22,733.5,754.9,733.5,744.15,"93,53,805"
86,02-Sep-22,749.0,754.55,740.25,750.2,"77,67,812"
87,05-Sep-22,750.2,758.8,749.35,756.1,"58,94,055"
88,06-Sep-22,758.0,761.55,748.8,750.0,"76,06,181"
89,07-Sep-22,743.15,758.0,739.05,755.4,"1,01,56,460"
90,08-Sep-22,761.75,782.2,757.1,779.75,"1,34,10,790"
91,09-Sep-22,787.95,787.95,780.0,784.85,"87,32,302"
92,12-Sep-22,789.0,805.0,786.8,801.0,"1,55,21,649"
93,13-Sep-22,805.0,808.95,803.15,805.55,"98,87,516"
