,Date  ,Open,High,Low,Close
0,26-Apr-22,285.6,285.65,283.0,285.65
1,27-Apr-22,298.0,299.9,276.65,299.2
2,28-Apr-22,305.2,312.0,284.25,284.25
3,29-Apr-22,278.0,296.0,270.05,280.35
4,04-May-22,288.0,289.0,266.35,266.35
5,05-May-22,260.0,279.65,253.05,278.15
6,06-May-22,283.95,292.05,271.5,292.05
7,09-May-22,295.65,298.0,277.45,281.6
8,10-May-22,272.45,281.6,267.55,267.55
9,11-May-22,257.3,278.0,254.2,255.3
10,12-May-22,250.0,254.6,242.55,242.55
11,13-May-22,250.0,254.65,245.6,254.65
12,16-May-22,267.35,267.35,267.35,267.35
13,17-May-22,280.7,280.7,280.7,280.7
14,18-May-22,294.7,294.7,283.6,294.7
15,19-May-22,286.95,303.95,284.65,297.4
16,20-May-22,307.0,312.25,305.1,312.25
17,23-May-22,321.65,327.85,318.35,327.85
18,25-May-22,309.1,318.8,295.95,299.35
19,26-May-22,308.9,314.3,286.1,314.3
20,30-May-22,338.7,344.5,326.0,340.25
21,31-May-22,323.25,323.25,323.25,323.25
22,01-Jun-22,310.5,316.7,307.1,307.1
23,02-Jun-22,291.75,313.0,291.75,295.35
24,03-Jun-22,301.0,302.8,282.0,284.1
25,06-Jun-22,285.0,298.3,277.1,298.3
26,07-Jun-22,299.95,302.8,288.4,291.4
27,08-Jun-22,295.55,296.8,282.2,284.5
28,09-Jun-22,284.45,290.5,277.1,287.75
29,10-Jun-22,282.8,285.35,279.0,280.1
30,13-Jun-22,269.5,275.5,266.1,266.2
31,14-Jun-22,261.6,279.5,261.6,266.65
32,15-Jun-22,270.0,275.7,270.0,272.05
33,16-Jun-22,280.0,282.55,258.45,259.3
34,17-Jun-22,258.5,267.8,249.35,261.3
35,20-Jun-22,265.35,266.8,248.25,248.25
36,21-Jun-22,248.35,258.65,238.3,254.05
37,22-Jun-22,251.9,253.0,245.1,247.3
38,23-Jun-22,249.05,258.7,247.5,252.6
39,24-Jun-22,256.0,265.2,256.0,264.45
40,27-Jun-22,270.95,277.65,268.2,272.9
41,28-Jun-22,270.05,274.8,267.75,270.25
42,29-Jun-22,267.95,274.4,267.25,270.05
43,30-Jun-22,272.0,275.65,261.1,262.85
44,01-Jul-22,262.85,264.9,255.1,263.25
45,04-Jul-22,263.9,266.5,261.0,261.7
46,05-Jul-22,263.4,269.4,262.0,262.75
47,06-Jul-22,264.1,265.55,260.0,262.7
48,07-Jul-22,265.5,275.8,265.05,275.6
49,08-Jul-22,277.9,278.6,269.0,271.55
50,11-Jul-22,270.0,285.1,269.25,285.1
51,12-Jul-22,286.8,299.35,286.05,292.75
52,13-Jul-22,298.4,299.6,285.0,286.65
53,14-Jul-22,288.0,289.8,277.0,283.7
54,15-Jul-22,286.0,287.95,283.25,286.75
55,18-Jul-22,289.4,294.45,286.8,289.85
56,19-Jul-22,286.95,294.85,285.25,293.35
57,20-Jul-22,296.0,296.8,288.55,289.9
58,21-Jul-22,290.95,295.0,288.45,294.0
59,22-Jul-22,294.95,297.0,290.6,291.3
60,25-Jul-22,291.3,295.25,289.1,291.7
61,26-Jul-22,291.85,303.4,290.15,297.7
62,27-Jul-22,299.0,312.55,298.15,312.45
63,28-Jul-22,321.0,326.9,313.0,321.95
64,29-Jul-22,323.25,325.6,307.3,313.95
65,01-Aug-22,314.65,325.0,305.55,321.85
66,02-Aug-22,321.0,332.5,319.1,328.55
67,03-Aug-22,329.9,344.95,321.3,339.6
68,04-Aug-22,344.95,354.0,336.0,347.25
69,05-Aug-22,345.7,346.4,329.9,332.05
70,08-Aug-22,328.4,334.65,322.05,328.6
71,10-Aug-22,330.7,341.9,329.1,339.75
72,11-Aug-22,342.8,348.9,341.15,342.4
73,16-Aug-22,349.0,362.4,349.0,362.35
74,17-Aug-22,367.0,380.45,366.25,380.45
75,18-Aug-22,389.5,399.45,388.55,399.45
76,19-Aug-22,407.7,418.85,391.15,411.95
77,22-Aug-22,420.15,432.5,419.4,432.5
78,23-Aug-22,421.0,424.9,410.9,410.9
79,24-Aug-22,390.4,390.4,390.4,390.4
80,28-Nov-22,327.1,337.0,326.9,328.25
81,29-Nov-22,330.0,332.9,323.5,324.7
82,30-Nov-22,325.0,335.9,322.5,332.75
83,01-Dec-22,336.5,339.9,328.5,330.4
84,02-Dec-22,329.0,330.35,324.0,325.3
85,05-Dec-22,326.95,326.95,322.05,323.05
86,06-Dec-22,322.95,331.7,321.9,324.8
87,07-Dec-22,325.9,328.4,323.25,324.45
88,08-Dec-22,326.1,329.0,323.05,323.75
89,09-Dec-22,325.4,325.95,311.0,316.05
90,12-Dec-22,315.0,317.0,307.05,310.2
91,13-Dec-22,310.5,325.7,310.5,323.0
92,14-Dec-22,322.8,326.9,317.35,319.35
93,15-Dec-22,320.65,322.55,314.5,315.45
94,16-Dec-22,315.0,317.7,306.0,307.9
95,19-Dec-22,309.0,309.9,301.0,305.8
96,20-Dec-22,306.0,308.95,301.2,305.75
97,21-Dec-22,308.0,308.9,290.5,290.5
98,22-Dec-22,290.0,290.5,276.0,276.0
99,23-Dec-22,267.15,267.7,262.2,262.2
